mcc,short_name,description,unaltered_description
5309,Duty Free Stores,Shops selling a variety of gift and import items that are typically exempt from custom fees such as jewelry cosmetics cigarettes and liquor Generally these merchants are located within airport terminals and hotels,"Shops selling a variety of gift and import items that are typically exempt from custom fees, such as jewelry, cosmetics, cigarettes, and liquor. Generally, these merchants are located within airport terminals and hotels."
5310,Discount Stores,Merchants selling a general line of merchandise at a discounted rate Products for sale may include apparel housewares home furnishings personal care products and electronics Such merchants typically operate a garden shop have a primary checkout location at the front of the store and promote and advertise low prices on an ongoing basis,"Merchants selling a general line of merchandise at a discounted rate. Products for sale may include apparel, housewares, home furnishings, personal care products, and electronics. Such merchants typically operate a garden shop, have a primary checkout location at the front of the store, and promote and advertise low prices on an ongoing basis."
5311,Department Stores,Larger merchants selling a general line of merchandise from departments that usually have separate checkout counters Products for sale may include apparel home furnishings furniture electronics cosmetics housewares and major household appliances,"Larger merchants selling a general line of merchandise from departments that usually have separate checkout counters. Products for sale may include apparel, home furnishings, furniture, electronics, cosmetics, housewares, and major household appliances."
5331,Variety Stores,Merchants offering a varied but limited selection of merchandise in the low or popular price range Such stores generally are not departmentalized do not offer proprietary charge or credit cards and do not deliver merchandise Variety stores offer merchandise similar to that sold by discount stores but operate on a much smaller scale,"Merchants offering a varied but limited selection of merchandise in the low or popular price range. Such stores generally are not departmentalized, do not offer proprietary charge or credit cards, and do not deliver merchandise. Variety stores offer merchandise similar to that sold by discount stores, but operate on a much smaller scale."
5399,Miscellaneous General Merchandise Stores,Small- to mid-sized merchants selling a general line of merchandise fromdepartments that usually have separate checkout counters Products for salemay include apparel dry goods hardware housewares home furnishingselectronics furniture and cosmetics Such merchants often offer proprietarycharge or credit accounts deliver merchandise and maintain open stocksGeneral merchandise stores offer merchandise similar to that sold bydepartment stores but operate on a much smaller scale,"Small- to mid-sized merchants selling a general line of merchandise fromdepartments that usually have separate checkout counters. Products for salemay include apparel, dry goods, hardware, housewares, home furnishings,electronics, furniture, and cosmetics. Such merchants often offer proprietarycharge or credit accounts, deliver merchandise, and maintain open stocks.General merchandise stores offer merchandise similar to that sold bydepartment stores, but operate on a much smaller scale."
5411,"Grocery Stores, Supermarkets",Merchants that sell a complete line of food merchandise for home consumption Food products for sale include groceries meat produce dairy products and canned frozen prepackaged and dry foods Other products for sale may include a limited selection of housewares cleaning and polishing products personal hygiene products cosmetics greeting cards books magazines household items and dry goods These merchants also may operate specialized departments such as an in-store deli counter meat counter pharmacy or floral department For convenience stores that sell a limited selection of products or specialty items use  ,"Merchants that sell a complete line of food merchandise for home consumption. Food products for sale include groceries, meat, produce, dairy products, and canned, frozen, prepackaged, and dry foods. Other products for sale may include a limited selection of housewares, cleaning and polishing products, personal hygiene products, cosmetics, greeting cards, books, magazines, household items, and dry goods. These merchants also may operate specialized departments such as an in-store deli counter, meat counter, pharmacy, or floral department. For convenience stores that sell a limited selection of products or specialty items, use MCC 5499."
5422,"Freezer, Locker Meat Provisioners",Merchants that sell fresh frozen or cured meats and fish shellfish and other seafoods and includes bulk retail sellers of meat for freezer storage Meat markets included in this  may butcher their own animals or buy meat from others For poultry shops use  ,"Merchants that sell fresh, frozen, or cured meats, and fish, shellfish, and other seafoods, and includes bulk retail sellers of meat for freezer storage. Meat markets included in this MCC may butcher their own animals, or buy meat from others. For poultry shops, use MCC 5499."
5441,"Candy, Nut, Confectionery Stores",Merchants that sell candy chocolate nuts dried fruits popcorn and other confections,"Merchants that sell candy, chocolate, nuts, dried fruits, popcorn, and other confections."
5451,Dairy Products Stores,Merchants that sell over-the-counter packaged dairy goods Products for sale may include butter cheese packaged ice cream and milk,"Merchants that sell over-the-counter packaged dairy goods. Products for sale may include butter, cheese, packaged ice cream, and milk."
5462,Bakeries,Merchants that sell bakery goods and often prepare the goods on the premises Products for sale may include bagels bread cookies doughnuts pastries pies and wedding cakes,"Merchants that sell bakery goods, and often prepare the goods on the premises. Products for sale may include bagels, bread, cookies, doughnuts, pastries, pies, and wedding cakes."
5499,"Miscellaneous Food Stores—Convenience Stores, Markets, Specialty Stores",Merchants that sell specialty foods not elsewhere classified This  includes specialty food markets health food and dietary supplement stores delicatessens poultry shops coffee stores vegetable and fruit markets ice cream and yogurt shops vending machines and convenience stores For convenience stores that also sell automotive gasoline use   For merchants that primarily sell meat and seafood use  ,"Merchants that sell specialty foods not elsewhere classified. This MCC includes specialty food markets, health food and dietary supplement stores, delicatessens, poultry shops, coffee stores, vegetable and fruit markets, ice cream and yogurt shops, vending machines, and convenience stores. For convenience stores that also sell automotive gasoline, use MCC 5541. For merchants that primarily sell meat and seafood, use MCC 5422."
5511,"Automobile and Truck Dealers—Sales, Service, Repairs, Parts, and Leasing",Merchants that sell new and used automobiles trucks pickups and vans These merchants may also conduct repair work and carry a stock of replacement parts and accessories If the merchant’s primary business is to conduct repair work use  ,"Merchants that sell new and used automobiles, trucks, pickups, and vans. These merchants may also conduct repair work and carry a stock of replacement parts and accessories. If the merchant’s primary business is to conduct repair work, use MCC 7538."
5521,Automobile and Truck Dealers—(Used Only)—Sales,Merchants that sell used automobiles and trucks only with no sales of new vehicles Vehicles for sale may include used pickups vans and antique or vintage automobiles,"Merchants that sell used automobiles and trucks only, with no sales of new vehicles. Vehicles for sale may include used pickups, vans, and antique or vintage automobiles."
5531,"Auto Store, Home Supply Stores",Merchants that sell a variety of merchandise for home and automobile repair and improvement Products for sale may include new automobile tires batteries and other automobile parts and accessories as well as home appliances equipment and supplies For merchants that sell home products and supplies in warehouse-type stores use   For merchants that sell automotive parts equipment and related accessories use  ,"Merchants that sell a variety of merchandise for home and automobile repair and improvement. Products for sale may include new automobile tires, batteries, and other automobile parts and accessories, as well as home appliances, equipment, and supplies. For merchants that sell home products and supplies in warehouse-type stores, use MCC 5200. For merchants that sell automotive parts, equipment, and related accessories, use MCC 5533."
5532,Automotive Tire Stores,Merchants that sell automotive and truck tires and related parts Automotive tire stores also perform tire installation and repair services For merchants that specialize in tire retreading and repair use  ,"Merchants that sell automotive and truck tires and related parts. Automotive tire stores also perform tire installation and repair services. For merchants that specialize in tire retreading and repair, use MCC 7534."
5533,"Automotive Parts, Accessories Stores",Merchants that sell automobile parts equipment and accessories Products for sale may include oil and oil filters parts mufflers cleaning products spark plugs waxing products deodorizers windshield wipers and paint These merchants also may or may not sell a limited line of car stereos and speakers For merchants that primarily sell car stereos and speakers use  ,"Merchants that sell automobile parts, equipment, and accessories. Products for sale may include oil and oil filters, parts, mufflers, cleaning products, spark plugs, waxing products, deodorizers, windshield wipers, and paint. These merchants also may or may not sell a limited line of car stereos and speakers. For merchants that primarily sell car stereos and speakers, use MCC 5732."
5541,Service Stations (with or without Ancillary Services),Merchants that sell fuel for consumer use and may or may not also have a convenience store car wash or automotive repair shop on the premises This  includes service station merchants located at a marina that have a separate merchant agreement from that of the marina For transactions occurring at unattended automated fuel dispensers use  ,"Merchants that sell fuel for consumer use and may or may not also have a convenience store, car wash, or automotive repair shop on the premises. This MCC includes service station merchants located at a marina that have a separate merchant agreement from that of the marina. For transactions occurring at unattended automated fuel dispensers, use MCC 5542."
5542,"Fuel Dispenser, Automated",Merchants that sell automotive gasoline using typically unattended Automated Fuel Dispensers enabling cardholders to purchase fuel by completing the transaction at the pump,"Merchants that sell automotive gasoline using typically unattended Automated Fuel Dispensers, enabling cardholders to purchase fuel by completing the transaction at the pump."
5551,Boat Dealers,Merchants that sell new and used watercraft marine supplies and outboard motors Watercraft for sale may include motorboats powerboats sailboats fishing boats and water-ski boats,"Merchants that sell new and used watercraft, marine supplies, and outboard motors. Watercraft for sale may include motorboats, powerboats, sailboats, fishing boats, and water-ski boats."
5561,"Camper Dealers, Recreational and Utility Trailers",Merchants that sell new and used campers and recreational and utility trailers Products for sale may also include automobile travel trailers pop-up tent trailers and related parts and accessories For motor home dealers use  ,"Merchants that sell new and used campers and recreational and utility trailers. Products for sale may also include automobile travel trailers, pop-up tent trailers, and related parts and accessories. For motor home dealers, use MCC 5592."
5571,Motorcycle Shops and Dealers,Merchants that sell new and used motorcycles motor scooters and mopeds and related parts equipment and accessories Products for sale may also include helmets and a limited selection of riding apparel such as jackets pants hats and gloves,"Merchants that sell new and used motorcycles, motor scooters, and mopeds, and related parts, equipment, and accessories. Products for sale may also include helmets and a limited selection of riding apparel such as jackets, pants, hats, and gloves."
5592,Motor Home Dealers,Merchants that sell new and used motor homes and related parts and accessories For camper and recreational trailer dealers use  ,"Merchants that sell new and used motor homes and related parts and accessories. For camper and recreational trailer dealers, use MCC 5561."
5598,Snowmobile Dealers,Applies exclusively to merchants that sell new and used snowmobiles and related parts and accessories,Applies exclusively to merchants that sell new and used snowmobiles and related parts and accessories.
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers—not elsewhere classified",Merchants that sell new and used automotive aircraft and farm vehicles parts equipment and supplies not elsewhere classified Vehicles for sale may include all-terrain vehicles ATVs dune buggies golf carts go-carts snowmobiles tractors combines and harvesting machinery,"Merchants that sell new and used automotive, aircraft, and farm vehicles, parts, equipment, and supplies not elsewhere classified. Vehicles for sale may include all-terrain vehicles (ATVs), dune buggies, golf carts, go-carts, snowmobiles, tractors, combines, and harvesting machinery."
5611,Men’s and Boys’ Clothing and Accessories Stores,Merchants that sell men’s and boys’ ready-to-wear clothing and accessories including tie and hat shops,"Merchants that sell men’s and boys’ ready-to-wear clothing and accessories, including tie and hat shops."
5621,Women’s Ready to Wear Stores,Merchants that sell a general line of women’s ready-to-wear clothing such as women’s dresses pants suits and coats Also included are specialty shops such as those selling bridal wear or maternity clothing,"Merchants that sell a general line of women’s ready-to-wear clothing such as women’s dresses, pants, suits, and coats. Also included are specialty shops such as those selling bridal wear or maternity clothing."
5631,Women’s Accessory and Specialty Stores,Merchants that sell women’s clothing accessories including handbags hats costume jewelry scarves belts hair bows and barrettes lingerie and hosiery,"Merchants that sell women’s clothing accessories, including handbags, hats, costume jewelry, scarves, belts, hair bows and barrettes, lingerie, and hosiery."
5641,Children’s and Infants’ Wear Stores,Merchants that sell children’s and infants’ clothing furnishings and accessories,"Merchants that sell children’s and infants’ clothing, furnishings, and accessories."
5651,Family Clothing Stores,Merchants that sell general lines of men’s women’s and children’s clothing furnishings and accessories without specializing in sales for a particular sex or age group This  includes jeans or denim clothing stores and unisex shops,"Merchants that sell general lines of men’s, women’s and children’s clothing, furnishings, and accessories without specializing in sales for a particular sex or age group. This MCC includes jeans or denim clothing stores and unisex shops."
5655,"Sports Apparel, Riding Apparel Stores",Merchants that sell athletic sports and riding apparel and active wear Such merchants may specialize in equestrian apparel western wear or motocross and motorcycle wear and may or may not also sell athletic shoes or western boots,"Merchants that sell athletic, sports and riding apparel, and active wear. Such merchants may specialize in equestrian apparel, western wear, or motocross and motorcycle wear, and may or may not also sell athletic shoes or western boots."
5661,Shoe Stores,Merchants that sell men’s women’s or children’s footwear including athletic footwear Shoe stores frequently also carry a limited selection of handbags socks shoe ornaments shoe polish gloves and hosiery,"Merchants that sell men’s, women’s, or children’s footwear, including athletic footwear. Shoe stores frequently also carry a limited selection of handbags, socks, shoe ornaments, shoe polish, gloves, and hosiery."
5681,Furriers and Fur Shops,Merchants that primarily sell a variety of retail items made of animal fur including coats jackets hats and gloves,"Merchants that primarily sell a variety of retail items made of animal fur, including coats, jackets, hats, and gloves."
5691,Men’s and Women’s Clothing Stores,Merchants that primarily sell men’s and women’s clothing and accessories These merchants do not sell infants’ and children’s wear,Merchants that primarily sell men’s and women’s clothing and accessories. These merchants do not sell infants’ and children’s wear.
5697,"Alterations, Mending, Seamstresses, Tailors",Merchants that create and sell custom-made clothing as well as provide alterations mending and garment repair and includes those that specialize in antique clothing restoration or costume construction,"Merchants that create and sell custom-made clothing, as well as provide alterations, mending, and garment repair, and includes those that specialize in antique clothing restoration or costume construction."
5698,Wig and Toupee Shops,Merchants that sell permanently attached or temporary toupees wigs hairpieces and hair extensions for men and women and includes those that provide hair-weaving services For merchants providing hair replacement services that require surgical techniques use  ,"Merchants that sell permanently attached or temporary toupees, wigs, hairpieces, and hair extensions for men and women, and includes those that provide hair-weaving services. For merchants providing hair replacement services that require surgical techniques, use MCC 8099."
5699,Accessory and Apparel Stores—Miscellaneous,Merchants that sell specialized lines of apparel excluding fur and accessories that are not elsewhere classified Merchants that specialize in apparel such as T- shirts formal wear and swimwear are included in this  For merchants that primarily sell furs use   ,"Merchants that sell specialized lines of apparel (excluding fur) and accessories that are not elsewhere classified. Merchants that specialize in apparel such as T- shirts, formal wear, and swimwear are included in this MCC. For merchants that primarily sell furs, use MCC 5681. 101"
5712,"Equipment, Furniture, and Home Furnishings Stores (except Appliances)",Merchants that sell home furnishings typically offering a wide variety of finished furniture products and accessories Products for sale may include bedding and mattresses dining and living room furniture porch and patio furnishings baby furnishings lamps area rugs and draperies Home furnishings stores may also offer a limited selection of electronics such as televisions stereos and VCRs For merchants that primarily sell electronics use  ,"Merchants that sell home furnishings, typically offering a wide variety of finished furniture products and accessories. Products for sale may include bedding and mattresses, dining and living room furniture, porch and patio furnishings, baby furnishings, lamps, area rugs, and draperies. Home furnishings stores may also offer a limited selection of electronics such as televisions, stereos, and VCRs. For merchants that primarily sell electronics, use MCC 5732."
5713,Floor Covering Stores,Merchants that sell floor coverings such as carpeting area rugs floor tile linoleum stone wood and brick and may or may not also perform installation services If the merchant solely conducts installations use  ,"Merchants that sell floor coverings such as carpeting, area rugs, floor tile, linoleum, stone, wood, and brick, and may or may not also perform installation services. If the merchant solely conducts installations, use MCC 1799."
5714,"Drapery, Upholstery, and Window Coverings Stores",Merchants that sell draperies curtains venetian blinds window shades and upholstery materials For merchants that primarily reupholster or repair furniture use  ,"Merchants that sell draperies, curtains, venetian blinds, window shades, and upholstery materials. For merchants that primarily reupholster or repair furniture, use MCC 7641."
5718,"Fireplace, Fireplace Screens and Accessories Stores",Merchants that sell fireplaces wood stoves fireplace parts and accessories such as fireplace tools and screens For stone masonry contractors that construct fireplaces use  ,"Merchants that sell fireplaces, wood stoves, fireplace parts, and accessories such as fireplace tools and screens. For stone masonry contractors that construct fireplaces, use MCC 1740."
5719,Miscellaneous House Furnishing Specialty Shops,Merchants that sell miscellaneous home furnishings Products for sale may include housewares cutlery bedding and linen lamps and shades mirrors pictures pottery and ceramic items For merchants that primarily sell glassware and crystal use  ,"Merchants that sell miscellaneous home furnishings. Products for sale may include housewares, cutlery, bedding and linen, lamps and shades, mirrors, pictures, pottery, and ceramic items. For merchants that primarily sell glassware and crystal, use MCC 5950."
5722,Household Appliance Stores,Merchants that sell household appliances Products for sale may include gas or electric ranges and stoves ovens refrigerators dishwashers water heaters washers dryers garbage disposals sewing machines self-contained air conditioning units and vacuum cleaners Such merchants may or may not also conduct repair work For merchants that primarily conduct repair work use     or   as appropriate,"Merchants that sell household appliances. Products for sale may include gas or electric ranges and stoves, ovens, refrigerators, dishwashers, water heaters, washers, dryers, garbage disposals, sewing machines, self-contained air conditioning units, and vacuum cleaners. Such merchants may or may not also conduct repair work. For merchants that primarily conduct repair work, use MCC 7623, MCC 7629, or MCC 7699 as appropriate."
5732,Electronic Sales,Merchants that sell or lease a wide variety of electronic goods including computer hardware and may also sell parts or accessories for the repair construction or assembly of electronic equipment Electronic sales merchants may or may not also conduct repair work Products for sale may include televisions radios VCRs cameras video cameras stereo components and car stereos and speakers For merchants that solely conduct electronics repair work use   For merchants that primarily sell household appliances such as washing machines clothes dryers and refrigerators use  ,"Merchants that sell or lease a wide variety of electronic goods, including computer hardware, and may also sell parts or accessories for the repair, construction, or assembly of electronic equipment. Electronic sales merchants may or may not also conduct repair work. Products for sale may include televisions, radios, VCRs, cameras, video cameras, stereo components, and car stereos and speakers. For merchants that solely conduct electronics repair work, use MCC 7622. For merchants that primarily sell household appliances such as washing machines, clothes dryers, and refrigerators, use MCC 5722."
5733,"Music Stores—Musical Instruments, Pianos, Sheet Music",Merchants that sell musical instruments sheet music keyboards instruction books pianos guitars and related supplies and equipment and may offer musical instruction For merchants that primarily provide musical instruction use  ,"Merchants that sell musical instruments, sheet music, keyboards, instruction books, pianos, guitars, and related supplies and equipment, and may offer musical instruction. For merchants that primarily provide musical instruction, use MCC 8299."
5734,Computer Software Stores,Merchants that sell computer software programs for business and personal use and may sell or lease a limited stock of computer hardware or other related products For merchants that primarily sell or lease computer hardware or other electronics products use   For merchants that provide data processing and consulting services use  ,"Merchants that sell computer software programs for business and personal use, and may sell or lease a limited stock of computer hardware or other related products. For merchants that primarily sell or lease computer hardware or other electronics products, use MCC 5732. For merchants that provide data processing and consulting services, use MCC 7372."
5735,Record Shops,Merchants that sell records compact discs CDs cassettes music and video laser disks and blank audio and videotapes and may rent videotapes Merchants that sell and deliver music via the Internet also are included and should be identified with a TCC of T For merchants that primarily rent videotapes use  ,"Merchants that sell records, compact discs (CDs), cassettes, music and video laser disks, and blank audio and videotapes, and may rent videotapes. Merchants that sell and deliver music via the Internet also are included and should be identified with a TCC of T. For merchants that primarily rent videotapes, use MCC 7841."
5811,Caterers,Merchants that contract with consumers to prepare and deliver typically to a specified location food and drinks for immediate consumption Caterers also may or may not provide clean-up services tables serving equipment decorations and personnel for on-site serving and cleanup For restaurants that primarily serve food for consumption on the premises and also provide catering services use  ,"Merchants that contract with consumers to prepare and deliver (typically to a specified location) food and drinks for immediate consumption. Caterers also may or may not provide clean-up services, tables, serving equipment, decorations, and personnel for on-site serving and cleanup. For restaurants that primarily serve food for consumption on the premises, and also provide catering services, use MCC 5812."
5812,"Eating Places, Restaurants",Merchants that prepare food and drinks for immediate consumption typically on the merchant’s premises and also provide catering services Such merchants provide table service by a waiter or waitress and a gratuity may be added to the bill For merchants that sell fast food use   For merchants that sell alcoholic beverages for consumption on the premises use  ,"Merchants that prepare food and drinks for immediate consumption, typically on the merchant’s premises and also provide catering services. Such merchants provide table service by a waiter or waitress, and a gratuity may be added to the bill. For merchants that sell fast food, use MCC 5814. For merchants that sell alcoholic beverages for consumption on the premises, use MCC 5813."
5813,"Bars, Cocktail Lounges, Discotheques, Nightclubs, and Taverns— Drinking Places (Alcoholic Beverages)",Merchants that sell alcoholic beverages such as wine beer ale mixed drinks and other liquors and beverages for consumption on the premises Drinking places include bars beer gardens microbreweries pubs taprooms cocktail lounges discotheques nightclubs saloons taverns comedy clubs and wine bars,"Merchants that sell alcoholic beverages such as wine, beer, ale, mixed drinks, and other liquors and beverages for consumption on the premises. Drinking places include bars, beer gardens, microbreweries, pubs, taprooms, cocktail lounges, discotheques, nightclubs, saloons, taverns, comedy clubs, and wine bars."
5814,Fast Food Restaurants,Merchants that sell prepared food and beverages for immediate consumption either on the premises or packaged for carry-out Fast food restaurants may or may not operate a drive-up window for ordering and pick-up and may or may not provide table service by a waiter or waitress In any case orders are paid for at the counter or at a drive-up window Fast food restaurants include cafes cafeterias grills coffee shops diners pizza parlors sandwich bars or shops deli shops and snack shops If table service is provided a gratuity may be added to the bill Such merchants generally do not sell alcoholic beverages,"Merchants that sell prepared food and beverages for immediate consumption either on the premises or packaged for carry-out. Fast food restaurants may or may not operate a drive-up window for ordering and pick-up, and may or may not provide table service by a waiter or waitress. In any case, orders are paid for at the counter or at a drive-up window. Fast food restaurants include cafes, cafeterias, grills, coffee shops, diners, pizza parlors, sandwich bars or shops, deli shops, and snack shops. If table service is provided, a gratuity may be added to the bill. Such merchants generally do not sell alcoholic beverages."
5815,"Digital Goods—Audiovisual Media Including Books, Movies, and Music",Merchants that sell audiovisual works to a cardholder in a digitized format Such works are delivered by means of electronic transfer such as uploading downloading or streaming and include but are not limited to audiobooks music files ringtones movies videos live or recorded events digital periodicals or magazines digital pictures digital presentations and news and entertainment programs,"Merchants that sell audiovisual works to a cardholder in a digitized format. Such works are delivered by means of electronic transfer (such as uploading, downloading, or streaming) and include, but are not limited to, audiobooks, music files, ringtones, movies, videos, live or recorded events, digital periodicals or magazines, digital pictures, digital presentations, and news and entertainment programs."
5816,Digital Goods—Games,Merchants that develop video or electronic games for play on smartphones feature phones personal computers tablets consoles or other devices with networking capability Such games may provide platforms to make “in- application” purchases of electronic or virtual items for use during play including but not limited to game pieces tokens points or other forms of game-specific value,"Merchants that develop video or electronic games for play on smartphones, feature phones, personal computers, tablets, consoles, or other devices with networking capability. Such games may provide platforms to make “in- application” purchases of electronic or virtual items for use during play, including but not limited to game pieces, tokens, points, or other forms of game-specific value."
5817,Digital Goods—Software Applications (Excluding Games),Merchants that sell prewritten software applications made available to a cardholder via remote access for example a hosted server or download Such applications include but are not limited to accounting or financial programs office suites data management resources image organizers media players and animation development tools,"Merchants that sell prewritten software applications made available to a cardholder via remote access (for example, a hosted server) or download. Such applications include, but are not limited to, accounting or financial programs, office suites, data management resources, image organizers, media players, and animation development tools."
5818,Digital Goods—Multi-Category,Merchants that sell at least two of the following specified digital products:    Digital Goods— Audiovisual Media Including Books Movies and Music    Digital Goods—Games    Digital Goods—Software Applications [Excluding Games] A digital good is electronically transferred to the purchaser and obtained by means other than tangible storage media,"Merchants that sell at least two of the following specified digital products: • MCC 5815 (Digital Goods— Audiovisual Media Including Books, Movies, and Music) • MCC 5816 (Digital Goods—Games) • MCC 5817 (Digital Goods—Software Applications [Excluding Games]) A digital good is electronically transferred to the purchaser and obtained by means other than tangible storage media."
5912,"Drug Stores, Pharmacies",Merchants that sell prescription and proprietary drugs and nonprescription over-the-counter medicines Drug stores may also sell related products and sundries such as cosmetics toiletries tobacco heating pads back supports novelty merchandise greeting cards and a limited supply of food items Operators of soda fountains or lunch counters within drug stores also should use this  An acquirer must use this  to identify a merchant located in the Canada region whose primary business is the sale of recreational cannabis Such merchant must be properly registered with Mastercard as set forth in section  of the Security Rules and Procedures manual,"Merchants that sell prescription and proprietary drugs and nonprescription (over-the-counter) medicines. Drug stores may also sell related products and sundries such as cosmetics, toiletries, tobacco, heating pads, back supports, novelty merchandise, greeting cards, and a limited supply of food items. Operators of soda fountains or lunch counters within drug stores also should use this MCC. An acquirer must use this MCC to identify a merchant located in the Canada region whose primary business is the sale of recreational cannabis. Such merchant must be properly registered with Mastercard as set forth in section 9.4.7 of the Security Rules and Procedures manual."
5921,"Package Stores, Beer, Wine, and Liquor",Merchants that sell packaged alcoholic beverages such as ale beer wine and liquor for consumption off the premises Such merchants may or may not also sell a limited variety of snack items newspapers and magazines or toiletries and over-the-counter medicines For merchants that sell liquor for consumption on the premises use  ,"Merchants that sell packaged alcoholic beverages such as ale, beer, wine, and liquor for consumption off the premises. Such merchants may or may not also sell a limited variety of snack items, newspapers, and magazines, or toiletries and over-the-counter medicines. For merchants that sell liquor for consumption on the premises, use MCC 5813."
5931,"Second Hand Stores, Used Merchandise Stores",Merchants that sell used merchandise or secondhand goods Products for sale may include accessories shoes and clothing furniture books bicycles musical instruments sewing machines electronic equipment appliances and other household items Typically the items for sale have been donated or are on consignment Such merchants may or may not also sell antiques For the merchants that primarily sell antiques use   For pawnshops use  ,"Merchants that sell used merchandise or secondhand goods. Products for sale may include accessories, shoes and clothing, furniture, books, bicycles, musical instruments, sewing machines, electronic equipment, appliances, and other household items. Typically, the items for sale have been donated or are on consignment. Such merchants may or may not also sell antiques. For the merchants that primarily sell antiques, use MCC 5932. For pawnshops, use MCC 5933."
5932,"Antique Shops—Sales, Repairs, and Restoration Services",Merchants that sell antiques and may or may not also conduct some repair or restoration work Products for sale may include furniture jewelry cameras and photographic equipment tools artwork books appliances and other household items For merchants that sell antique automobiles use   For merchants that primarily repair or restore antique furniture use  ,"Merchants that sell antiques and may or may not also conduct some repair or restoration work. Products for sale may include furniture, jewelry, cameras and photographic equipment, tools, artwork, books, appliances, and other household items. For merchants that sell antique automobiles, use MCC 5521. For merchants that primarily repair or restore antique furniture, use MCC 7641."
5933,Pawn Shops,Merchants that lend money in exchange for personal property left with the merchants as security Pawn shops may upon default of the loan sell the property to the general public Property left as security may include items such as jewelry watches musical instruments bicycles furniture coins and camera and photographic equipment,"Merchants that lend money in exchange for personal property left with the merchants as security. Pawn shops may, upon default of the loan, sell the property to the general public. Property left as security may include items such as jewelry, watches, musical instruments, bicycles, furniture, coins, and camera and photographic equipment."
5935,Salvage and Wrecking Yards,Merchants that provide wrecking and salvaging services for vehicles equipment and other items Such merchants may or may not provide pick-up and towing services For merchants that primarily provide towing services use  ,"Merchants that provide wrecking and salvaging services for vehicles, equipment, and other items. Such merchants may or may not provide pick-up and towing services. For merchants that primarily provide towing services, use MCC 7549."
5937,Antique Reproduction Stores,Merchants that sell antique reproductions or facsimiles Items for sale may include clothing furniture rugs paintings and artwork mirrors glassware jewelry and other household and personal items Such merchants may also provide antique phonograph reproduction and restoration services For merchants that sell bona fide antiques use  ,"Merchants that sell antique reproductions or facsimiles. Items for sale may include clothing, furniture, rugs, paintings and artwork, mirrors, glassware, jewelry, and other household and personal items. Such merchants may also provide antique phonograph reproduction and restoration services. For merchants that sell bona fide antiques, use MCC 5932."
5940,Bicycle Shops—Sales and Service,Merchants that sell bicycles bicycle parts and accessories Bicycle shops may also sell a limited variety of related sporting apparel and may or may not also conduct repair work or rent bicycles For merchants that primarily repair bicycles use   For merchants that primarily rent bicycles use  ,"Merchants that sell bicycles, bicycle parts, and accessories. Bicycle shops may also sell a limited variety of related sporting apparel, and may or may not also conduct repair work or rent bicycles. For merchants that primarily repair bicycles, use MCC 7699. For merchants that primarily rent bicycles, use MCC 7999."
5941,Sporting Goods Stores,Merchants that sell sporting goods sporting equipment and related parts and accessories Products for sale may include skateboards water-skis inline skates surfboards golf equipment snow skis windsurfing skin diving and scuba equipment bait and tackle backpacking camping hiking and mountaineering equipment exercise equipment pool tables tennis equipment bowling equipment and supplies hunting equipment and supplies and playground equipment Sporting goods stores may or may not also conduct repair work or rent sporting equipment For merchants that primarily conduct repair work use   For merchants that primarily rent sporting equipment use  ,"Merchants that sell sporting goods, sporting equipment, and related parts and accessories. Products for sale may include skateboards, water-skis, inline skates, surfboards, golf equipment, snow skis, windsurfing, skin diving and scuba equipment, bait and tackle, backpacking, camping, hiking and mountaineering equipment, exercise equipment, pool tables, tennis equipment, bowling equipment and supplies, hunting equipment and supplies, and playground equipment. Sporting goods stores may or may not also conduct repair work or rent sporting equipment. For merchants that primarily conduct repair work, use MCC 7699. For merchants that primarily rent sporting equipment, use MCC 7999."
5942,Book Stores,Merchants that sell new or used books journals magazines textbooks maps and atlases audio books books on tape and calendars This  also includes religious bookstores,"Merchants that sell new or used books, journals, magazines, textbooks, maps, and atlases, audio books (books on tape) and calendars. This MCC also includes religious bookstores."
5943,"Office, School Supply, and Stationery Stores",Merchants that sell a variety of office and school supplies and paper goods Products for sale may include pens pencils calendars desk organizers staplers file folders bond paper portfolios message pads markers computer diskettes ink cartridges for computer printers a limited selection of computer software and small office equipment such as file drawers chairs wastebaskets and desk lamps Such merchants do not primarily sell large or high-priced office equipment such as computers or desk units For merchants that primarily sell computer hardware use   For merchants that primarily sell computer software use  ,"Merchants that sell a variety of office and school supplies and paper goods. Products for sale may include pens, pencils, calendars, desk organizers, staplers, file folders, bond paper, portfolios, message pads, markers, computer diskettes, ink cartridges for computer printers, a limited selection of computer software, and small office equipment such as file drawers, chairs, wastebaskets, and desk lamps. Such merchants do not primarily sell large or high-priced office equipment such as computers or desk units. For merchants that primarily sell computer hardware, use MCC 5732. For merchants that primarily sell computer software, use MCC 5734."
